"","Name","open","date"
"12907","ADP",78.9,"2014-05-13"
"12908","ADP",79.02,"2014-05-14"
"12909","ADP",77.85,"2014-05-15"
"12910","ADP",76.91,"2014-05-16"
"12911","ADP",77.52,"2014-05-19"
"12912","ADP",78.15,"2014-05-20"
"12913","ADP",78.07,"2014-05-21"
"12914","ADP",77.89,"2014-05-22"
"12915","ADP",78.32,"2014-05-23"
"12916","ADP",79.01,"2014-05-27"
"12917","ADP",79.72,"2014-05-28"
"12918","ADP",79.18,"2014-05-29"
"12919","ADP",79.75,"2014-05-30"
"12920","ADP",79.65,"2014-06-02"
"12921","ADP",78.92,"2014-06-03"
"12922","ADP",78.33,"2014-06-04"
"12923","ADP",78.79,"2014-06-05"
"12924","ADP",79.17,"2014-06-06"
"12925","ADP",79.58,"2014-06-09"
"12926","ADP",79.72,"2014-06-10"
"12927","ADP",78.6,"2014-06-11"
"12928","ADP",78.08,"2014-06-12"
"12929","ADP",78.54,"2014-06-13"
"12930","ADP",78.47,"2014-06-16"
"12931","ADP",78.48,"2014-06-17"
"12932","ADP",78.22,"2014-06-18"
"12933","ADP",78.88,"2014-06-19"
"12934","ADP",78.86,"2014-06-20"
"12935","ADP",79.36,"2014-06-23"
"12936","ADP",79.15,"2014-06-24"
"12937","ADP",78.76,"2014-06-25"
"12938","ADP",79.28,"2014-06-26"
"12939","ADP",79.06,"2014-06-27"
"12940","ADP",79.13,"2014-06-30"
"12941","ADP",79.62,"2014-07-01"
"12942","ADP",80.01,"2014-07-02"
"12943","ADP",80,"2014-07-03"
"12944","ADP",80.18,"2014-07-07"
"12945","ADP",80.36,"2014-07-08"
"12946","ADP",80.67,"2014-07-09"
"12947","ADP",80.8,"2014-07-10"
"12948","ADP",80.27,"2014-07-11"
"12949","ADP",80.39,"2014-07-14"
"12950","ADP",80.35,"2014-07-15"
"12951","ADP",80.65,"2014-07-16"
"12952","ADP",80.04,"2014-07-17"
"12953","ADP",80.43,"2014-07-18"
"12954","ADP",80.59,"2014-07-21"
"12955","ADP",81.16,"2014-07-22"
"12956","ADP",81.56,"2014-07-23"
"12957","ADP",81.6,"2014-07-24"
"12958","ADP",82.52,"2014-07-25"
"12959","ADP",82.47,"2014-07-28"
"12960","ADP",82.64,"2014-07-29"
"12961","ADP",82.33,"2014-07-30"
"12962","ADP",82.23,"2014-07-31"
"12963","ADP",80.87,"2014-08-01"
"12964","ADP",81.32,"2014-08-04"
"12965","ADP",81.23,"2014-08-05"
"12966","ADP",80.42,"2014-08-06"
"12967","ADP",80.68,"2014-08-07"
"12968","ADP",80.2,"2014-08-08"
"12969","ADP",81.21,"2014-08-11"
